iter	Passed	Remaining
404	7712	11330
405	7733	11314
406	7759	11305
407	7780	11288
408	7800	11271
409	7822	11256
410	7841	11237
411	7861	11219
412	7879	11198
413	7897	11178
414	7915	11157
415	7934	11138
416	7953	11119
417	7972	11101
418	7990	11080
419	8008	11058
420	8025	11037
421	8044	11018
422	8063	10998
423	8084	10983
424	8122	10989
425	8143	10973
426	8163	10954
427	8181	10934
428	8199	10913
429	8219	10895
430	8238	10875
431	8254	10853
432	8272	10832
433	8291	10813
434	8309	10792
435	8328	10773
436	8346	10752
437	8362	10730
438	8381	10710
439	8398	10689
440	8415	10667
441	8432	10645
442	8451	10626
443	8468	10605
444	8486	10584
445	8504	10563
446	8522	10543
447	8538	10520
448	8554	10497
449	8573	10479
450	8591	10458
451	8608	10437
452	8626	10416
453	8644	10395
454	8662	10376
455	8689	10366
456	8710	10349
457	8728	10328
458	8746	10309
459	8764	10288
460	8781	10267
461	8800	10248
462	8820	10230
463	8838	10209
464	8855	10188
465	8873	10168
466	8891	10147
467	8924	10144
468	8955	10139
469	8985	10132
470	9002	10111
471	9019	10090
472	9039	10071
473	9057	10051
474	9075	10030
475	9092	10009
476	9110	9989
477	9127	9967
478	9145	9947
479	9163	9927
480	9181	9906
481	9199	9886
482	9217	9866
483	9235	9846
484	9251	9824
485	9268	9802
486	9286	9782
487	9302	9760
488	9318	9737
489	9338	9719
490	9355	9698
491	9371	9676
492	9390	9657
493	9406	9635
494	9423	9613
495	9441	9593
496	9458	9573
497	9476	9552
498	9494	9532
499	9513	9513
500	9529	9491
501	9546	9470
502	9566	9451
503	9586	9434
504	9604	9414
505	9621	9393
506	9642	9376
507	9661	9356
508	9680	9337
509	9697	9317
510	9716	9298
511	9736	9279
512	9756	9262
513	9773	9241
514	9791	9220
515	9809	9201
516	9827	9180
517	9844	9160
518	9862	9140
519	9883	9123
520	9901	9103
521	9920	9084
522	9938	9064
523	9956	9044
524	9973	9023
525	9992	9004
526	10009	8984
527	10027	8963
528	10045	8944
529	10062	8923
530	10079	8902
531	10096	8881
532	10128	8874
533	10144	8852
534	10162	8832
535	10178	8811
536	10196	8791
537	10213	8770
538	10233	8752
539	10250	8731
540	10267	8711
541	10285	8691
542	10302	8670
543	10317	8648
544	10333	8627
545	10354	8609
546	10371	8589
547	10390	8570
548	10407	8549
549	10427	8531
550	10445	8511
551	10464	8493
552	10485	8475
553	10507	8458
554	10529	8442
555	10548	8423
556	10570	8406
557	10591	8390
558	10611	8371
559	10633	8354
560	10655	8338
561	10675	8320
562	10701	8306
563	10724	8290
564	10747	8274
565	10772	8260
566	10796	8245
567	10818	8228
568	10838	8210
569	10857	8190
570	10876	8171
571	10896	8153
572	10913	8133
573	10935	8116
574	10966	8105
575	10989	8089
576	11007	8069
577	11025	8049
578	11051	8035
579	11068	8014
580	11086	7995
581	11105	7975
582	11123	7956
583	11141	7936
584	11160	7916
585	11176	7896
586	11193	7875
587	11211	7855
588	11229	7835
589	11246	7815
590	11264	7795
591	11281	7775
592	11299	7755
593	11317	7735
594	11336	7716
595	11355	7697
596	11371	7676
597	11390	7656
598	11408	7637
599	11425	7617
600	11449	7601
601	11467	7581
602	11484	7560
603	11502	7541
604	11522	7523
605	11543	7505
606	11563	7487
607	11582	7467
608	11599	7447
609	11617	7427
610	11638	7409
611	11656	7389
612	11676	7371
613	11696	7353
614	11720	7337
615	11740	7319
616	11764	7302
617	11785	7284
618	11808	7268
619	11831	7251
620	11849	7231
621	11873	7215
622	11896	7199
623	11918	7181
624	11939	7163
625	11958	7144
626	11977	7125
627	11997	7106
628	12014	7086
629	12032	7066
630	12050	7047
631	12068	7027
632	12086	7007
633	12105	6988
634	12122	6968
635	12140	6948
636	12158	6928
637	12177	6909
638	12195	6889
639	12226	6877
640	12247	6859
641	12264	6838
642	12283	6819
643	12300	6799
644	12317	6779
645	12335	6759
646	12352	6739
647	12370	6719
648	12388	6700
649	12406	6680
650	12423	6660
651	12440	6640
652	12459	6621
653	12477	6601
654	12494	6580
655	12514	6562
656	12534	6543
657	12553	6524
658	12572	6505
659	12592	6486
660	12611	6468
661	12629	6448
662	12649	6429
663	12667	6409
664	12686	6390
665	12707	6372
666	12725	6352
667	12742	6332
668	12762	6314
669	12781	6295
