iter	MultiClass
180	0.7190181484
181	0.7185936909
182	0.7178362831
183	0.7174504328
184	0.7168459103
185	0.7162755126
186	0.7157731183
187	0.7152671467
188	0.714869742
189	0.7142842396
190	0.7138508917
191	0.7134232988
192	0.7129248329
193	0.7123064477
194	0.7118272888
195	0.7113832214
196	0.7108153418
197	0.710327989
198	0.7097665223
199	0.709229688
200	0.7087987471
201	0.7082560787
202	0.7077234624
203	0.7072013675
204	0.7067864805
205	0.7060737245
206	0.7056096325
207	0.705143983
208	0.7046766299
209	0.7041744938
210	0.703754457
211	0.7031713786
212	0.7026095322
213	0.7020919968
214	0.7017258949
215	0.7012472259
216	0.7009038214
217	0.7002828542
218	0.6999656098
219	0.6993335369
220	0.6989842515
221	0.6982574246
222	0.6978882065
223	0.6973331991
224	0.6967173858
225	0.6963884946
226	0.6959715594
227	0.6953821728
228	0.6947332533
229	0.6939888883
230	0.6934578032
231	0.6930937553
232	0.6924480243
233	0.6918567801
234	0.69099976
235	0.6905527852
236	0.6895940492
237	0.6888343112
238	0.6883910435
239	0.68793425
240	0.687255217
241	0.686897877
242	0.686243656
243	0.6858671731
244	0.6854378683
245	0.6850172755
246	0.6845814604
247	0.6840524763
248	0.683547289
249	0.68288229
250	0.6823762618
251	0.6821086694
252	0.6814941763
253	0.6809198928
254	0.6803697052
255	0.6795924818
256	0.6792991992
257	0.6784040078
258	0.6779187026
259	0.677347984
260	0.6767923698
261	0.6762105547
262	0.6759068102
263	0.6754037697
264	0.6751572388
265	0.6745428693
266	0.6740523267
267	0.6733609496
268	0.6729849507
269	0.6723766289
270	0.6720240354
271	0.6715884878
272	0.6711810748
273	0.6708450999
274	0.670433095
275	0.6698000207
276	0.669272758
277	0.6688445061
278	0.6683563386
279	0.6676640282
280	0.6673000376
281	0.6668731312
282	0.6664660701
283	0.6660935396
284	0.6656658823
285	0.6651395536
286	0.6648735746
287	0.6644546399
288	0.6640888721
289	0.6636518431
290	0.6632357051
291	0.6628515726
292	0.6622921299
293	0.6615046006
294	0.6610030141
295	0.6606721023
296	0.6602888827
297	0.6599140825
298	0.6593621385
299	0.6589578608
300	0.6584555121
301	0.6580284224
302	0.657678165
303	0.6572847066
304	0.6568357996
305	0.656308944
306	0.6560074709
307	0.6556605515
308	0.6553460276
309	0.6550153534
310	0.6546586342
311	0.6542142717
312	0.6538377871
313	0.6535614126
314	0.6529543272
315	0.6523024195
316	0.6517398914
317	0.6514366313
318	0.6510167362
319	0.6507672386
320	0.6502886414
321	0.6497711975
322	0.6491937333
323	0.6486305614
324	0.6482147653
325	0.6478484219
326	0.6472805806
327	0.6469945273
328	0.6465440163
329	0.6461763326
330	0.6456617988
331	0.6451189048
332	0.6447390936
333	0.6440428673
334	0.6437566146
335	0.6434125687
336	0.6431729174
337	0.6427847209
338	0.6422620158
339	0.6417715451
340	0.6413000018
341	0.640891451
342	0.6405954163
343	0.6403480073
344	0.6400832475
345	0.639641544
346	0.6392709001
347	0.6388975871
348	0.6384561799
349	0.6381412294
350	0.6374532802
351	0.6369088888
352	0.6364943883
353	0.6359972405
354	0.6356199261
355	0.6352210385
356	0.6348574158
357	0.6344232716
358	0.6340917848
359	0.6337443323
360	0.633276203
361	0.6330762038
362	0.6327020066
363	0.6323162293
364	0.6319092674
365	0.6315681206
366	0.6312738067
367	0.630834677
368	0.6306566922
369	0.6302613072
370	0.6299230875
371	0.6295986683
372	0.6291656831
373	0.6290239118
374	0.6285734538
375	0.6280373181
376	0.6277170245
377	0.627330223
378	0.626905809
379	0.6264683241
380	0.6258982174
381	0.6254645157
382	0.6249273837
383	0.6246409464
384	0.6241837174
385	0.6238961557
386	0.6232969745
387	0.622960365
388	0.6225561348
389	0.6223528171
390	0.621807199
391	0.6215735467
392	0.6209491383
393	0.6203860943
394	0.6197878153
395	0.6193716281
396	0.618793549
397	0.618406138
398	0.6180870561
399	0.6177049739
400	0.6174690116
401	0.6170317483
402	0.6167252301
403	0.6164184402
404	0.6160948773
405	0.6157400058
406	0.6153869977
407	0.6147221902
408	0.6144412533
409	0.6139913387
410	0.6136498741
411	0.6132996487
412	0.612732243
413	0.6123072973
414	0.6119961675
415	0.6116693922
416	0.6112720091
417	0.6107648758
418	0.6103471555
419	0.6098372107
420	0.6096139498
421	0.6091929256
422	0.6085397492
423	0.6082658662
424	0.6079006732
425	0.6073906636
426	0.6069857075
427	0.6066755482
428	0.6062945206
429	0.6059184056
430	0.6054319857
431	0.6050058599
432	0.6046230139
433	0.6041518419
434	0.6036569021
435	0.6033281741
436	0.6028848843
437	0.6025415446
438	0.6019639436
439	0.6016134237
440	0.6012724465
441	0.6008474412
442	0.6004125173
443	0.5998802619
444	0.5994426056
445	0.598897408
446	0.5986911971
447	0.5985122692
448	0.5982709465
449	0.5980335943
450	0.5976688446
451	0.5973478726
452	0.5969048579
453	0.5965712503
454	0.5962519955
455	0.5960902385
456	0.595653727
457	0.5953145949
458	0.5946584082
459	0.5942875869
460	0.5939045423
461	0.5934644061
462	0.593174975
463	0.5928106567
464	0.5925471195
465	0.5921192151
466	0.5915473617
467	0.5910394475
468	0.5907363572
469	0.5903664673
470	0.5900479524
471	0.589463827
472	0.5891196026
473	0.5887553121
474	0.5884083097
475	0.5881791285
476	0.5879043894
477	0.5875394232
478	0.5873461878
479	0.586951938
480	0.5866166627
481	0.5860642047
482	0.5857994156
483	0.5855667386
484	0.5853313264
485	0.5850817548
486	0.5849629028
487	0.5845675635
488	0.5844156534
489	0.5840037362
490	0.5837191915
491	0.5833733062
492	0.5830007391
493	0.5826011693
494	0.5822109198
495	0.5816901378
496	0.5814662118
497	0.5811071811
498	0.5808344881
499	0.5806092733
500	0.5804454638
501	0.5800615136
502	0.579589337
503	0.5789960774
504	0.5785806165
505	0.5783667242
506	0.5780547579
507	0.5776144202
508	0.5772459993
509	0.5767427509
510	0.5762894343
511	0.5760691432
512	0.5757311329
513	0.575262151
514	0.5748817609
515	0.5745625426
516	0.5743548696
517	0.5741699207
518	0.5738335521
519	0.5735396025
520	0.5733650839
521	0.5731370263
522	0.5728296602
523	0.5725251841
524	0.5721723675
525	0.5718571385
526	0.5716830771
527	0.5714225326
528	0.5711872486
529	0.570896249
530	0.5705655568
531	0.5701573926
532	0.5697063193
533	0.5692590236
534	0.5689418241
535	0.5686694278
536	0.5682842037
537	0.5680187113
538	0.5677406496
539	0.5674891256
540	0.5672627005
541	0.5666737202
542	0.5662767029
543	0.5661403963
544	0.5659488682
545	0.5656960549
546	0.5654462357
547	0.5651373953
548	0.5650318348
549	0.5646050165
550	0.5642955215
551	0.5637842022
552	0.5636515404
553	0.5631317777
554	0.5627063304
555	0.562496817
556	0.5622319278
557	0.561776922
558	0.5614779574
559	0.5610377407
560	0.5606288126
561	0.56029314
562	0.5598270444
563	0.5594842543
564	0.5591603447
565	0.558569659
566	0.5582272929
567	0.5580764777
568	0.5578415796
569	0.5576302138
570	0.5572920864
571	0.557067932
572	0.5566077481
573	0.5560834278
574	0.555741882
575	0.5551405474
576	0.5548253937
577	0.5546192735
578	0.5542577319
579	0.5539546753
580	0.5536557059
581	0.5534019664
582	0.5530156133
583	0.55259552
584	0.5523056167
585	0.5520583262
586	0.5516980122
587	0.5513886037
588	0.5509888678
589	0.5507139776
590	0.5503692295
591	0.5499854043
592	0.5496959205
593	0.5493895113
594	0.5491493187
595	0.5488376632
596	0.5486010966
597	0.5480864245
598	0.5476601997
599	0.5474269585
600	0.5470526344
601	0.5468250431
602	0.5465571101
603	0.5460700783
604	0.5458726816
605	0.5454268296
606	0.5450452813
607	0.5446761163
608	0.5445735419
609	0.5442262974
610	0.5438787227
611	0.5435461878
612	0.5433775471
613	0.5429812025
614	0.5426704717
615	0.5423305328
616	0.5421124096
617	0.5419282424
618	0.5415263618
619	0.5412796514
620	0.5411433813
621	0.540978304
622	0.5406862202
623	0.5404423221
624	0.5401303834
625	0.5399771643
626	0.5397861083
627	0.5393895682
628	0.5390430836
629	0.538739468
630	0.5385028309
631	0.5381648562
632	0.5379074388
633	0.5375236365
634	0.5372759136
635	0.53684764
636	0.5365368691
637	0.5362654162
638	0.5359407313
639	0.5357363328
640	0.5355234752
641	0.5352092278
642	0.5348314804
643	0.5345544132
644	0.5343589939
645	0.5341174351
646	0.5337652268
647	0.533388294
648	0.5330158722
649	0.5326695526
650	0.53245494
651	0.5322552763
652	0.5320079117
653	0.5317759175
654	0.5315799581
655	0.5312154454
656	0.5310659441
657	0.5306779445
658	0.530436864
659	0.5300282086
660	0.5296927256
661	0.5293501839
662	0.5289872263
663	0.5288231082
664	0.5283264374
665	0.5281568039
666	0.527819933
667	0.5276002614
668	0.5274621858
669	0.5272270346
670	0.5268233454
671	0.5264458227
672	0.5261776072
673	0.5259725284
674	0.5254882743
675	0.525377627
676	0.5249945423
677	0.5246686843
678	0.5244403465
679	0.5240746914
680	0.5238341059
681	0.523722403
682	0.5234065973
683	0.5231830634
684	0.5228596006
685	0.5224948524
686	0.5222108834
687	0.5218015889
688	0.5215330803
689	0.5210818907
690	0.5206749289
691	0.5205167844
692	0.5201975197
693	0.5199697478
694	0.5197200319
695	0.5191889073
696	0.5188658108
697	0.5185727631
698	0.5183273706
699	0.5179898402
700	0.5176980838
701	0.5173412506
702	0.5170976013
703	0.5169602876
704	0.516671911
705	0.5163533369
706	0.5160389893
707	0.5156404841
708	0.5153337464
709	0.5149360199
710	0.5146676423
711	0.5143574171
712	0.5140806633
713	0.5138515824
714	0.5133681198
715	0.5132227992
716	0.512987466
717	0.5128429596
718	0.5122932862
719	0.511927819
720	0.5116459969
721	0.5113723139
722	0.5111298059
723	0.5107159163
724	0.5104238335
725	0.5099358376
726	0.5097881469
727	0.5095135927
728	0.5091610082
729	0.5088481547
730	0.5085918159
731	0.5082845493
732	0.5079899484
733	0.5076478083
734	0.5074055487
735	0.5071620319
736	0.5067853124
737	0.5064035849
738	0.5060607853
739	0.5058219887
740	0.5056022705
741	0.5053786454
742	0.5049671246
743	0.5047157199
744	0.504436846
745	0.504113554
746	0.5037914691
747	0.5034423669
748	0.503070973
749	0.5027202265
750	0.5025611686
751	0.5022182191
752	0.5020432239
753	0.5018604404
754	0.5014080075
755	0.5010790844
756	0.5009345317
757	0.500605509
758	0.5004594217
759	0.5001396334
760	0.4999228255
761	0.4996712791
762	0.4993259741
763	0.4988012573
764	0.4984638961
765	0.4982844661
766	0.4980566779
767	0.4978622724
768	0.4976895609
769	0.4973207139
770	0.4971068178
771	0.4968558807
772	0.4965884618
773	0.4962222644
774	0.4959918149
775	0.49569331
776	0.4954056756
777	0.4952087688
778	0.4948928576
779	0.4946736938
780	0.4944030391
781	0.4941238122
782	0.4939084683
783	0.4935258801
784	0.4932608023
785	0.4929928915
786	0.49275689
787	0.4925592463
788	0.4922134459
789	0.4917807283
790	0.4916729572
791	0.4914541536
792	0.4911999573
793	0.4911359255
794	0.4908992128
795	0.4906782267
796	0.4902313411
797	0.4899502562
798	0.4896964096
799	0.4892962441
800	0.4889044732
801	0.4887306947
802	0.4885703009
803	0.4883362748
804	0.4881288475
805	0.4878920325
806	0.4875182417
807	0.4873699646
808	0.487127757
809	0.4868702277
810	0.4866307336
811	0.4863035622
812	0.485957858
813	0.4857261842
814	0.4854041536
815	0.4849350385
816	0.4847075002
817	0.4844335586
818	0.4841231797
819	0.4837975629
820	0.4835670854
821	0.4833534154
822	0.4832283892
823	0.4828767162
824	0.4825608645
825	0.4822625528
826	0.4819941391
827	0.4817440401
828	0.4814796757
829	0.4812787678
830	0.4811863906
831	0.4808882128
832	0.4807099089
833	0.4804596727
834	0.4803683828
835	0.48017355
836	0.4800373049
837	0.4797153311
838	0.4795798782
839	0.4794010103
840	0.4791850021
841	0.4788917455
842	0.4785839437
843	0.4784026883
844	0.4781896433
845	0.4779008871
846	0.4776577186
847	0.4773738568
848	0.4771040628
849	0.4770100848
850	0.4768238591
851	0.4764862267
852	0.4763136051
853	0.4760473858
854	0.475796328
855	0.475593666
856	0.4751989066
857	0.4749243995
858	0.4747558497
859	0.4744360923
860	0.474160371
861	0.4739564868
862	0.4737213745
863	0.4734460702
864	0.4730717352
865	0.4727202685
866	0.4725421501
867	0.4723426965
868	0.472279434
869	0.4720901918
870	0.4717959376
871	0.4714758798
872	0.4712145607
873	0.4709078007
874	0.4705634709
875	0.4702889744
876	0.4700645152
877	0.4698272375
878	0.4696555346
879	0.4694749292
880	0.4692503545
881	0.4688825635
882	0.468708968
883	0.4683787157
884	0.4680589952
885	0.4678426623
886	0.467603704
887	0.467265812
888	0.4669729118
889	0.4667233443
890	0.4664146563
891	0.4663343908
892	0.4661914626
893	0.4660394381
894	0.4657367148
895	0.4653644227
896	0.4652119921
897	0.4649515035
898	0.4646268664
899	0.4643489313
900	0.4640708034
901	0.4638005729
902	0.4635242721
903	0.4632156782
904	0.4629714674
905	0.4627204155
906	0.4623995951
907	0.4621415968
908	0.4619880478
909	0.4617871715
910	0.4616603527
911	0.4614277944
912	0.4612546951
913	0.4609963971
914	0.4606673836
915	0.460462058
916	0.4603001736
917	0.4601151599
918	0.4598970785
919	0.4594908786
920	0.4592747226
921	0.458957341
922	0.4586320404
923	0.4583928986
924	0.4581258784
925	0.457967257
926	0.4576620568
927	0.4574449351
928	0.4572379084
929	0.4569600013
930	0.4565220118
931	0.4562385634
932	0.4559298143
933	0.4556924126
934	0.455438891
935	0.4552340899
936	0.4548566504
937	0.4546638316
938	0.4545569974
939	0.4543623112
940	0.4540109801
941	0.4537969271
942	0.4535338149
943	0.4533981978
944	0.4532305874
945	0.4530647226
946	0.4528109424
947	0.452471386
948	0.4523107076
949	0.4520871424
950	0.4520179846
951	0.4517966031
952	0.4515801879
953	0.4512561104
954	0.4509940162
955	0.450825225
956	0.4506619835
957	0.4505141572
958	0.4503820581
959	0.4502053622
960	0.4499080281
961	0.4497786787
962	0.4495945048
963	0.4493615354
964	0.4491367719
965	0.4488302518
966	0.44860084
967	0.4483503652
968	0.4480888931
969	0.4477880259
970	0.4475350804
971	0.447278541
972	0.4471210027
973	0.4468821905
974	0.446568349
975	0.4462974009
976	0.4460682884
977	0.4458665169
978	0.4456061493
979	0.4453536719
980	0.4450292788
981	0.444747798
982	0.4444615378
983	0.4443039316
984	0.4441235929
985	0.4439857473
986	0.443859727
987	0.443777568
988	0.443663227
989	0.4434084212
990	0.4432257263
991	0.4430143907
992	0.4428718199
993	0.4424871528
994	0.4422322972
995	0.442039448
996	0.4418381651
997	0.4415424322
998	0.4411425911
999	0.4409742923
